formula,O-2p,hole_mass_11,hole_mass_22,hole_mass_33,bandgap
K6MgO4,0.63,4.506622052992361,4.506622054394826,4.451118011968972,4.2343
V2Zn2O7,0.6300000000000001,2.930690642589175,7.859603979224562,1.0804962141230734,4.1737
Rb3TlO3,0.6319999999999999,33.979373892397724,7.8482470722463695,57.31305927750599,3.8530999999999995
Rb3InO3,0.632,19.174839280766577,27.097864529745685,32.788563622180895,4.6528
Al4Bi2O9,0.6320000000000001,0.7685165770511861,3.3473156507116704,2.6445262777761,4.447100000000001
Rb2HgO2,0.634,2.3824073184086045,2.382407318408604,6.136009821873794,4.7765
SrZnO2,0.6359999999999999,0.7082790853440418,5.758974860085814,25.473433726299866,4.6731
Na6ZnO4,0.6359999999999999,9.362973513232975,9.362973511581949,2.169855994866106,4.4324
Zn(SbO3)2,0.636,0.9281564265174843,0.9281564265174843,6.865792277088468,2.9451
Na14Cd2O9,0.636,17.535468008691364,17.535468001761544,21.639169746291568,3.9581999999999997
Cs3AlO3,0.638,20.974811479333734,48.96223587020852,10.69841004901681,5.0683
Cs3GaO3,0.64,26.957777584222768,10.412802557633812,17.791771368575542,5.2515
K2HgO2,0.64,2.9811189623953074,2.981118962395306,473.6232615043867,4.7161
CaCdO2,0.64,1.334438018625707,1.3344380186257072,0.3677662033829031,1.9478000000000002
Cs2Li3GaO4,0.64,5.771216009970276,5.717207384608063,4.12659583053483,6.6743999999999994
Cs2BeO2,0.6400000000000001,32.3416351065371,1.7461920354919915,10.164526533631564,5.4793
Sr2ZnSi2O7,0.6400000000000001,2.831731562493506,2.831731562493506,1.6774110403142577,7.3807
Sr2ZnGe2O7,0.6410000000000001,3.394759213122304,3.394759213122304,5.673361998293307,6.0121
K2Zn(GeO3)2,0.6420000000000001,5.088697113669005,7.388985919761556,1.7468721396320888,6.1246
BaZn2Si2O7,0.6420000000000001,4.523579019643296,4.3096676574967665,1.2941647893131738,6.897
ZnWO4,0.6439999999999999,1.5915431061840881,2.7310781770572783,1.351609223035675,4.284800000000001
