formula,O-2p,hole_mass_11,hole_mass_22,hole_mass_33,bandgap,hole_mass_avg
Li2TiO3,0.7679999999999999,2.8536666695426316,2.916763999118852,1.183235689918707,4.7355,2.317888786193397
Ta2SnO6,0.276,1.0088000923639622,4.902203689234642,1.0456688722197334,2.9731000000000005,2.3188908846061125
Na2PtO3,0.464,2.9885207315591606,1.360050156766192,2.6142582210250995,3.4814,2.3209430364501507
BAsO4,0.752,2.513100451911836,2.5129775217527532,1.9797449316947928,8.0243,2.335274301786461
Zn2PtO4,0.588,0.7939612670767153,4.047723706355305,2.1758740593071852,2.3529000000000004,2.339186344246402
Sr4PtO6,0.4959999999999999,2.6431942842224694,2.643194282185256,1.7747417931521536,4.3514,2.3537101198532926
Sr2ScSbO6,0.724,2.148937733668774,2.312894666740021,2.6138106540878803,6.0280000000000005,2.358547684832225
Rb2Cd2O3,0.63,1.194900915556449,2.0622654191841283,3.8206689179885926,2.1318,2.3592784175763897
SrSc2O4,0.7320000000000002,2.161751223195537,3.1996192175256595,1.82482952599038,5.4492,2.395399988903859
Na2Zn2O3,0.6080000000000001,2.394087893651126,2.3940878936511263,2.4097662205943173,3.9982,2.39931400263219
MgV2O6,0.756,1.1686340005694726,3.328268791764677,2.7012164759021067,3.7914,2.3993730894120855
KBi(WO4)2,0.6279999999999999,3.3908951507330074,0.6883387699434753,3.1313563098252963,3.806999999999999,2.4035300768339263
Sr2MgWO6,0.7480000000000001,3.016982468761569,3.0156151301921814,1.2993467740324822,4.8318,2.4439814576620775
Sr2ZnSi2O7,0.6400000000000001,2.831731562493506,2.831731562493506,1.6774110403142577,7.3807,2.4469580551004233
Sr3ZnPtO6,0.452,3.137461495007114,3.137461495821747,1.090366293954926,4.8386000000000005,2.455096428261262
Rb2MgO2,0.66,3.380298194986864,1.3250110381950868,2.664643786516408,5.3239,2.4566510065661196
Sc2Ti2O7,0.728,1.3638135823185071,3.5468074730774153,2.4602035964656186,5.2797,2.4569415506205137
Sr2LaBiO6,0.6839999999999998,3.1291179000700993,2.9564154017554376,1.2931026509839978,3.609399999999999,2.4595453176031783
Ba4InSbO8,0.6740000000000002,1.1050167946706808,3.096669059631593,3.2047874889191497,4.5916,2.468824447740474
NaBO2,0.744,1.2021975747830882,1.202197575310386,5.010479132795952,8.307,2.471624760963142
Rb2Zn3O4,0.6079999999999999,3.0383802505037387,2.079266982555115,2.3135151139005075,4.1502,2.4770541156531203
As2PbO4,0.4640000000000002,1.4864910577605044,4.894593373032025,1.085623725704936,4.2247,2.4889027188324886
Sr(CuO)2,0.16,1.2274664811562797,1.2274664811562794,5.040737054544204,3.2567999999999997,2.4985566722855874
Li2PdO2,0.302,1.3575474100225111,3.700844649758811,2.443412672931776,3.2722,2.5006015775710324
LaSbO4,0.6920000000000002,2.5315102612960954,2.1419345131160172,2.8749785280719884,5.490599999999999,2.5161411008280337
BiO2,0.6059999999999999,2.641671952839509,3.96609683902203,0.9511783912802686,2.0599000000000003,2.5196490610472693
LiCuO,0.184,2.363514624887074,2.363514624887074,2.848620079990059,2.6910000000000003,2.525216443254736
Ba2YTaO6,0.728,2.957090351581375,2.9579665590153277,1.6606124118385246,5.4216999999999995,2.5252231074784093
BeAl2O4,0.7760000000000002,0.7920716583606038,2.9847003408024095,3.8127293946238265,9.6656,2.5298337979289465
RbBiO2,0.532,1.9409940975827435,1.873854783067591,3.783914513628141,3.6184,2.5329211314261584
NbInO4,0.744,2.1503610952236385,3.309668196244804,2.1611407640276132,4.8258,2.540390018498685
CaSc2O4,0.7400000000000001,1.3927807005067734,4.442483017862674,1.7863635172537653,5.4879,2.5405424118744047
Sr2InSbO6,0.7240000000000002,2.24070722006603,2.668691365540122,2.714305762855815,3.9493,2.5412347828206556
Li2CaGeO4,0.728,2.745262876984461,2.745262876984462,2.1381990042185457,7.1129,2.542908252729156
Li2SiO3,0.73,2.387226979083724,3.2631953905884132,1.985983283218416,9.0519,2.5454685509635175
Ba2ZrO4,0.684,3.3654341495077684,3.365434149507769,0.9424625598532212,5.084200000000001,2.5577769529562526
Sr2MgMoO6,0.75,3.163039339905564,3.1611307684187766,1.352108054357839,3.5877999999999997,2.5587593875607264
SrBe3O4,0.724,3.2861517262079567,3.2861517192702276,1.1080617716037764,7.0367,2.5601217390273203
TaBO4,0.7919999999999999,1.5723923067030858,1.5723923067030865,4.558116296037638,5.3353,2.56763363648127
NbBO4,0.7839999999999999,1.6605502570121122,1.6605502570121122,4.389221009340715,4.0565999999999995,2.57010717445498
Ba3Hf2O7,0.7080000000000002,2.876662324108308,2.8766623241083087,1.9737334068633423,5.567,2.575686018359986
LaTaO4,0.7200000000000002,3.2062239085936963,2.2301347246427135,2.3404069497286506,5.117,2.592255194321687
BaBe2(BO3)2,0.736,4.199884689131863,2.0467785194719545,1.5582099638402092,8.9592,2.6016243908146754
La2Be2GeO7,0.656,2.5782804755895325,2.5782804755895325,2.6680971157526745,6.5091,2.608219355643913
KLiZn3O4,0.61,3.99627346836304,1.4473019944034795,2.452460833510822,4.3629999999999995,2.632012098759114
Au2O3,0.527,1.8878568777837488,2.361889716648981,3.676530476113146,1.9444000000000004,2.642092356848625
NaSc(SiO3)2,0.7320000000000001,3.689812448865093,1.393854615012801,2.8933208472816037,8.3958,2.658995970386499
Ba2LaTaO6,0.694,2.153707421866225,3.713903001966144,2.121098733383853,5.481199999999999,2.6629030524054076
NaCuO2,0.584,2.1877238295877692,4.626158169428656,1.1766498526715952,2.8653000000000004,2.66351061722934
NaTlO,0.266,1.2744888935550212,1.274488892696977,5.445060432968182,1.8307,2.664679406406727
LaScO3,0.7240000000000002,1.9977433408379075,2.307952974011976,3.692656265654066,5.926,2.66611752683465
