formula,O-2p
LaTiSbO6,0.7300000000000001
GeO2,0.731
LiInGeO4,0.7319999999999999
Li2PbO3,0.7319999999999999
Li6Hf2O7,0.732
Ca(SbO3)2,0.732
KScO2,0.732
LiBO2,0.7320000000000001
LiMgVO4,0.7320000000000001
NaSc(SiO3)2,0.7320000000000001
Ba2CaWO6,0.7320000000000001
BaGa4O7,0.7320000000000001
Li3BiO4,0.7320000000000001
NaSc(GeO3)2,0.7320000000000001
CaYBO4,0.7320000000000002
SrAl2(SiO4)2,0.7320000000000002
SrSc2O4,0.7320000000000002
GaAsO4,0.7320000000000002
LaBO3,0.733
RbMgBO3,0.7339999999999999
CaAl2(SiO4)2,0.734
Li2BeSiO4,0.734
Ba2Ca(BO3)2,0.734
CaV2O6,0.734
BaSn(GeO3)3,0.7340000000000001
KNaTiO3,0.7340000000000001
Li6Zr2O7,0.7340000000000002
La3TiGa5O14,0.7340000000000002
CaZrO3,0.7359999999999999
KMgBO3,0.7359999999999999
Ca2MgWO6,0.7359999999999999
LiScSiO4,0.736
BaBe2(BO3)2,0.736
Li4GeO4,0.736
SrAl4O7,0.736
Ca3(BO3)2,0.736
K3V5O14,0.736
Li2SnO3,0.736
Ba3In2O6,0.736
BaHf(BO3)2,0.736
BaNaBO3,0.736
SiO2,0.736
RbNa2BO3,0.736
Li3SbO4,0.7360000000000001
BaZr(SiO3)3,0.7360000000000001
SrGa4O7,0.7360000000000001
SrWO4,0.7360000000000001
Rb2Ti(SiO3)3,0.7360000000000002
YTaO4,0.7360000000000002
RbLa(MoO4)2,0.7360000000000002
CsSr2Ta3O10,0.737
KLi6TaO6,0.738
K4Hf5O12,0.738
NaNbO3,0.738
CsTa(BO3)2,0.738
NaTaGeO5,0.738
CaTaAlO5,0.738
RbLiCrO4,0.738
BaZrO3,0.738
SrSn(BO3)2,0.738
Ba5Ta4O15,0.738
Li2ZrO3,0.7380000000000001
La2Zr2O7,0.7380000000000001
Ba2Ti(SiO4)2,0.7380000000000001
RbTa(GeO3)3,0.7380000000000001
NaScO2,0.7380000000000001
CaGa4O7,0.7380000000000001
Ba3MgSb2O9,0.7380000000000001
Mg2SiO4,0.7399999999999998
Li3BO3,0.7399999999999998
VInO4,0.7399999999999999
Al2Ge2O7,0.74
LiScO2,0.74
BaHfO3,0.74
InSbO4,0.74
NaSc(WO4)2,0.74
NaLa(MoO4)2,0.74
LiInSiO4,0.74
Ba2ZrSnO6,0.74
Ba4Li(SbO4)3,0.74
CsBeAsO4,0.7400000000000001
CaSc2O4,0.7400000000000001
Ba3ZnSb2O9,0.7400000000000001
SrLiBO3,0.7400000000000001
CaHfO3,0.7400000000000001
BaZr(BO3)2,0.7400000000000002
Mg2GeO4,0.7400000000000002
RbTaO3,0.7400000000000002
Li5BiO5,0.742
Li5TaO5,0.742
BaHf(SiO3)3,0.7420000000000001
Y3SbO7,0.7420000000000002
Rb2Si3SnO9,0.7420000000000002
RbY(WO4)2,0.7420000000000002
Ba3CaNb2O9,0.743
Ba3CaTa2O9,0.743
K3ScSi2O7,0.7439999999999998
BaSnO3,0.7439999999999999
ScTaO4,0.7439999999999999
NaTaO3,0.7439999999999999
CaSn(BO3)2,0.7439999999999999
YVO4,0.7439999999999999
YAsO4,0.7439999999999999
BaLiBO3,0.744
RbSc(MoO4)2,0.744
NbInO4,0.744
ZrO2,0.744
Ba4Na(SbO4)3,0.744
Li5SbO5,0.744
Sr3Ti2O7,0.744
LiGeBO4,0.744
NaBO2,0.744
Mg2TiO4,0.7440000000000001
La2Hf2O7,0.7440000000000001
Na4Ti5O12,0.7440000000000001
MgGeO3,0.7440000000000001
Sr(AsO3)2,0.7440000000000001
NaScAs2O7,0.7459999999999999
K2SrTa2O7,0.7459999999999999
MgTiO3,0.746
KTa(GeO3)3,0.7460000000000001
